date,optics,simple
2022-06-08T19:25:00+02:00,221,
2022-06-08T19:26:00+02:00,190,
2022-06-08T19:27:00+02:00,184,
2022-06-08T19:28:00+02:00,217,
2022-06-08T19:29:00+02:00,210,
2022-06-08T19:30:00+02:00,219,
2022-06-08T19:31:00+02:00,235,
2022-06-08T19:32:00+02:00,230,
2022-06-08T19:33:00+02:00,212,
2022-06-08T19:34:00+02:00,209,
2022-06-08T19:35:00+02:00,220,
2022-06-08T19:36:00+02:00,227,
2022-06-08T19:37:00+02:00,212,
2022-06-08T19:38:00+02:00,226,
2022-06-08T19:39:00+02:00,232,
2022-06-08T19:40:00+02:00,220,
2022-06-08T19:41:00+02:00,218,
2022-06-08T19:42:00+02:00,235,
2022-06-08T19:43:00+02:00,232,
2022-06-08T19:44:00+02:00,235,
2022-06-08T19:45:00+02:00,231,
2022-06-08T19:46:00+02:00,230,
2022-06-08T19:47:00+02:00,245,
2022-06-08T19:48:00+02:00,232,
2022-06-08T19:49:00+02:00,225,
2022-06-08T19:50:00+02:00,216,
2022-06-08T19:51:00+02:00,217,
2022-06-08T19:52:00+02:00,242,
2022-06-08T19:53:00+02:00,215,
2022-06-08T19:54:00+02:00,251,
2022-06-08T19:55:00+02:00,243,
2022-06-08T19:56:00+02:00,235,
2022-06-08T19:57:00+02:00,263,
2022-06-08T19:58:00+02:00,241,
2022-06-08T19:59:00+02:00,220,
2022-06-08T20:00:00+02:00,212,
2022-06-08T20:01:00+02:00,222,
2022-06-08T20:02:00+02:00,211,
2022-06-08T20:03:00+02:00,207,
2022-06-08T20:04:00+02:00,220,
2022-06-08T20:05:00+02:00,214,
2022-06-08T20:06:00+02:00,214,
2022-06-08T20:07:00+02:00,214,
2022-06-08T20:08:00+02:00,214,
2022-06-08T20:09:00+02:00,218,
2022-06-08T20:10:00+02:00,207,
2022-06-08T20:11:00+02:00,208,
2022-06-08T20:12:00+02:00,202,
2022-06-08T20:13:00+02:00,215,
2022-06-08T20:14:00+02:00,207,
2022-06-08T20:15:00+02:00,198,
2022-06-08T20:16:00+02:00,203,
2022-06-08T20:17:00+02:00,188,
2022-06-08T20:18:00+02:00,170,
2022-06-08T20:19:00+02:00,166,
2022-06-08T20:20:00+02:00,184,
2022-06-08T20:21:00+02:00,184,
2022-06-08T20:22:00+02:00,178,
2022-06-08T20:23:00+02:00,164,
2022-06-08T20:24:00+02:00,150,
2022-06-08T20:25:00+02:00,174,
2022-06-08T20:26:00+02:00,174,
2022-06-08T20:27:00+02:00,155,
2022-06-08T20:28:00+02:00,163,
2022-06-08T20:29:00+02:00,169,
2022-06-08T20:30:00+02:00,172,
2022-06-08T20:31:00+02:00,183,
2022-06-08T20:32:00+02:00,188,
2022-06-08T20:33:00+02:00,199,
2022-06-08T20:34:00+02:00,172,
2022-06-08T20:35:00+02:00,196,
2022-06-08T20:36:00+02:00,179,
2022-06-08T20:37:00+02:00,193,
2022-06-08T20:38:00+02:00,199,
2022-06-08T20:39:00+02:00,179,
2022-06-08T20:40:00+02:00,204,
2022-06-08T20:41:00+02:00,185,
2022-06-08T20:42:00+02:00,203,
2022-06-08T20:43:00+02:00,207,
2022-06-08T20:44:00+02:00,209,
2022-06-08T20:45:00+02:00,225,
2022-06-08T20:46:00+02:00,218,
2022-06-08T20:47:00+02:00,227,
2022-06-08T20:48:00+02:00,235,
2022-06-08T20:49:00+02:00,253,
2022-06-08T20:50:00+02:00,264,
2022-06-08T20:51:00+02:00,302,
2022-06-08T20:52:00+02:00,258,
2022-06-08T20:53:00+02:00,269,
2022-06-08T20:54:00+02:00,248,
2022-06-08T20:55:00+02:00,285,
2022-06-08T20:56:00+02:00,317,
2022-06-08T20:57:00+02:00,295,
2022-06-08T20:58:00+02:00,282,
2022-06-08T20:59:00+02:00,257,
